actor_ids,actor_names,actor_points
nm0002017,Richard Conte,21725
nm0000424,Hugh Grant,21672
nm0000560,Nick Nolte,21640
nm0000980,Jim Broadbent,21202
nm0000156,Jeff Goldblum,21190
nm0638824,Michael Nyqvist,21157
nm0249291,Joel Edgerton,21126
nm0001016,David Carradine,20987
nm0000126,Kevin Costner,20980
nm0005458,Jason Statham,20893
nm0386472,Emile Hirsch,20619
nm0705356,Daniel Radcliffe,20483
nm0342488,Rupert Grint,20483
nm2955013,Liam Hemsworth,20420
nm0370035,John Hawkes,20415
nm0000489,Christopher Lee,20247
nm0051509,Eric Bana,20074
nm0942482,Jeffrey Wright,20027
nm0000358,Daniel Day-Lewis,19979
nm0005286,Haley Joel Osment,19868
nm0924154,Shea Whigham,19851
nm0000321,Gabriel Byrne,19756
nm0000313,Jeff Bridges,19734
nm0186505,Bryan Cranston,19718
nm0333410,Topher Grace,19649
nm0736622,Seth Rogen,19619
nm0753314,Mark Rylance,19603
nm0001774,Ben Stiller,19574
nm0001358,Hal Holbrook,19565
nm0001792,Rod Taylor,19548
nm0241121,Jean Dujardin,19310
nm1209966,Oscar Isaac,19301
nm0005212,Ian McKellen,19298
nm1165110,Chris Hemsworth,19167
nm0290556,James Franco,19155
nm0695435,Chris Pratt,19075
nm0000140,Michael Douglas,18407
nm0164809,Jason Clarke,18301
nm0908919,Eli Wallach,18206
nm0023832,Mathieu Amalric,18195
nm0376101,David Hemmings,18120
nm0000630,Liev Schreiber,18110
nm0000112,Pierce Brosnan,17880
nm0001291,Rupert Graves,17562
nm0159802,Jesper Christensen,17550
nm0000299,Michael Biehn,17532
nm0941777,Sam Worthington,17243
nm0470981,Thomas Kretschmann,17241
nm0000719,F. Murray Abraham,17239
nm1500155,Robert Pattinson,17231
nm0002011,Lee J. Cobb,17199
nm0744834,Eli Roth,17103
nm0001709,Til Schweiger,17103
nm0225944,August Diehl,17103
nm2356421,Alexander Fehling,17103
nm0000020,Henry Fonda,16981
nm0765597,Peter Sarsgaard,16736
nm0000667,David Thewlis,16690
nm0479471,Shia LaBeouf,17678
nm0000249,James Woods,16511
nm0000421,Cuba Gooding Jr.,16342
nm0462407,Sebastian Koch,16208
nm0000671,Billy Bob Thornton,16090
nm0296545,Nick Frost,15694
nm2353862,Dev Patel,15616
nm0251986,Jesse Eisenberg,15573
nm0000664,Patrick Swayze,15439
nm0001427,Greg Kinnear,15200
nm0004874,Vin Diesel,15124
nm0000547,Alfred Molina,15091
nm1663205,Sharlto Copley,15020
nm1519666,Eddie Redmayne,15013
nm0000056,Paul Newman,14998
nm0328828,Matthew Goode,14880
nm1159180,Ed Helms,14860
nm0058581,Justin Bartha,14860
nm0000602,Robert Redford,14822
nm0001497,Tobey Maguire,14731
nm0000110,Kenneth Branagh,14678
nm0262635,Chris Evans,14661
nm0000230,Sylvester Stallone,14520
nm0000842,Martin Balsam,14481
nm0001647,Claude Rains,14362
nm0305558,Gael García Bernal,14240
nm1940449,Andrew Garfield,14227
nm0548686,Karl Markovics,14118
nm0001812,Lee Van Cleef,14055
nm0000007,Humphrey Bogart,14044
nm0000284,Adam Baldwin,14030
nm0420955,Richard Jenkins,13981
nm0000286,Stephen Baldwin,13533
nm0004486,Bruno Ganz,13456
nm0857620,Justin Theroux,13294
nm0001673,Jason Robards,13149
nm0001657,Oliver Reed,13085
nm0001082,Billy Crudup,12993
nm0525518,Florian Lukas,12935
nm0000643,Tom Skerritt,12826
nm0671567,Michael Peña,12767
nm0836343,Jim Sturgess,12757
nm0001029,Jim Caviezel,12706
nm0912001,Jack Warden,12615
nm0000122,Charles Chaplin,12476
nm0564215,James McAvoy,12445
nm1475594,Channing Tatum,12284
nm0000905,Roberto Benigni,12223
nm0000377,Richard Dreyfuss,12154
nm0195439,James D'Arcy,12154
nm0000532,Malcolm McDowell,11989
nm0000048,Peter Lorre,11962
nm0000090,Armin Mueller-Stahl,11849
nm0000597,Bill Pullman,11783
nm0001258,James Garner,11720
nm0001727,Robert Shaw,11697
nm0593775,Thomas Mitchell,11627
nm0040472,William Atherton,11420
nm0000101,Dan Aykroyd,11374
nm0316284,Giancarlo Giannini,11371
nm0526019,Diego Luna,11306
nm0000060,Gregory Peck,11240
nm0001702,Roy Scheider,11209
nm0000620,Mickey Rourke,11180
nm0000418,Danny Glover,11167
nm2002649,Dave Franco,11140
nm0377336,Aksel Hennie,11113
nm0000152,Richard Gere,11088
nm0167388,François Cluzet,11029
nm0000598,Dennis Quaid,10978
nm1886602,Miles Teller,10978
nm0000026,Cary Grant,10930
nm0001254,James Gandolfini,10902
nm0001449,Frank Langella,10900
nm0396558,Nicholas Hoult,10900
nm0532193,Matthew Macfadyen,10871
nm0458460,Burghart Klaußner,10856
nm0068260,Jamie Bell,10767
nm0000454,Dennis Hopper,10752
nm0001638,Jürgen Prochnow,10734
nm0000439,Neil Patrick Harris,10706
nm3154303,Timothée Chalamet,10696
nm2309517,Armie Hammer,10685
nm0586568,Mads Mikkelsen,10441
nm0005023,Djimon Hounsou,10315
nm0000554,Sam Neill,10306
nm1082477,Omar Sy,10299
nm0000634,Peter Sellers,10289
nm0000034,William Holden,10278
nm0000367,Gérard Depardieu,10223
nm0000559,Leonard Nimoy,10163
nm0933940,Patrick Wilson,10084
nm0001976,Horst Buchholz,10059
nm0001326,Josh Hartnett,10041
nm0000095,Woody Allen,9930
nm0085312,Jack Black,9917
nm0000080,Orson Welles,9818
nm3485845,Adam Driver,9818
nm0000564,Peter O'Toole,9796
nm0000578,Anthony Perkins,9728
nm0793766,Takashi Shimura,9705
nm0000131,John Cusack,9677
nm0000369,Matt Dillon,9674
nm0000314,Charles Bronson,9641
nm0001852,Treat Williams,9624
nm0000493,Jack Lemmon,9591
nm0005110,Ashton Kutcher,9497
nm1517976,Chris Pine,9378
nm0704270,Zachary Quinto,9378
nm0051509,Eric Bana,9378
nm0339304,Bruce Greenwood,9378
nm0947338,Anton Yelchin,9378
nm0001715,George C. Scott,9330
nm0814280,Song Kang-ho,9321
nm1310525,Lee Sun-kyun,9321
nm6079248,Choi Woo-sik,9321
nm0001072,Joseph Cotten,9298
nm0000460,Jeremy Irons,9297
nm0001536,Toshirô Mifune,9248
nm0001162,Griffin Dunne,9219
nm0000216,Arnold Schwarzenegger,9209
nm3147751,LaKeith Stanfield,9044
nm0000551,Dermot Mulroney,9028
nm1126657,George MacKay,8937
nm0530365,Sergi López,8878
nm0000032,Charlton Heston,8843
nm0406975,Rhys Ifans,8771
nm0371660,Dennis Haysbert,8727
nm0000257,Alan Alda,8699
nm0451234,Irrfan Khan,8633
nm0000459,Timothy Hutton,8582
nm0000225,Christian Slater,8507
nm0000024,John Gielgud,8308
nm1089991,Tom Hiddleston,8154
nm0001953,Moritz Bleibtreu,8147
nm0000221,Charlie Sheen,8056
nm0001667,Jonathan Rhys Meyers,8054
nm4139037,Suraj Sharma,8045
nm0001698,John Savage,7929
nm4422686,Barry Keoghan,7920
nm0005351,Ryan Reynolds,7804
nm0000662,Kiefer Sutherland,7790
nm0891998,Conrad Veidt,7768
nm0065007,Demián Bichir,7660
nm2348627,Lucas Hedges,7631
nm0352278,Matthias Habich,7592
nm0056187,Sacha Baron Cohen,7571
nm0001212,Joseph Fiennes,7540
nm0001096,Timothy Dalton,7394
nm0001191,Adam Sandler,7331
nm0001597,Mandy Patinkin,7252
nm0860947,Ulrich Thomsen,7161
nm1319365,Tómas Lemarquis,7153
nm0000587,Donald Pleasence,7149
nm2797744,Himesh Patel,6994
nm0207218,Isaach De Bankolé,6964
nm0124930,Gerard Butler,6962
nm0001768,Rod Steiger,6954
nm0002134,Paul Henreid,6931
nm0001644,Aidan Quinn,6898
nm0860233,Jack Thompson,6881
nm0000104,Antonio Banderas,6872
nm0267241,Fares Fares,6842
nm0005493,Justin Timberlake,6807
nm0503567,Logan Lerman,6776
nm0781913,Noah Segan,6716
nm0876300,Ulrich Tukur,6672
nm0504897,Tony Chiu-Wai Leung,6650
nm0158856,Choi Min-sik,6601
nm0949167,Yoo Ji-tae,6601
nm1785339,Rami Malek,6581
nm0898546,Pruitt Taylor Vince,6512
nm1670029,Rupert Friend,6356
nm0000537,Steve McQueen,6299
nm0814280,Song Kang-ho,6284
nm0000177,Kevin Kline,6211
nm0000051,James Mason,6049
nm1726032,Rob Morgan,5924
nm1347153,Tyler Perry,5924
nm0201857,Ricardo Darín,5878
nm0000063,Anthony Quinn,5827
nm0000345,Billy Crystal,5808
nm0774386,Matthias Schoenaerts,5768
nm0000022,Clark Gable,5737
nm0085038,Gunnar Björnstrand,5645
nm0000859,Lionel Barrymore,5642
nm0618057,Ulrich Mühe,5601
nm0000203,River Phoenix,5592
nm1093951,Aaron Taylor-Johnson,5556
nm0685856,Michael Pitt,5509
nm0003909,Michael Lonsdale,5503
nm0000552,Eddie Murphy,5380
nm0190744,Marton Csokas,5378
nm0488917,Thomas Bo Larsen,5354
nm0000698,Gene Wilder,5349
nm0000652,James Spader,5293
nm0000059,Laurence Olivier,5245
nm0001262,Ben Gazzara,5142
nm1561982,Pilou Asbæk,5118
nm1249052,Riccardo Scamarcio,5117
nm1269088,David Kross,5077
nm2403277,Alden Ehrenreich,5069
nm0002231,Gian Maria Volontè,5068
nm0000346,Macaulay Culkin,5047
nm0000389,Emilio Estevez,5045
nm0000053,Robert Mitchum,5041
nm0001445,Martin Landau,5027
nm0001588,Jack Palance,5018
nm1013003,Michael Ealy,5018
nm0000144,Cary Elwes,4925
nm0001697,Chris Sarandon,4925
nm0000549,Roger Moore,4843
nm2018237,Taylor Kitsch,4810
nm0000336,James Coburn,4794
nm0001500,Karl Malden,4779
nm0004936,Ben Foster,4764
nm0001075,Peter Coyote,4753
nm0001228,Peter Fonda,4734
nm0034390,Niels Arestrup,4689
nm0001006,John Candy,4684
nm1486911,Shahab Hosseini,4620
nm0272224,Heino Ferch,4610
nm0813463,Anatoliy Solonitsyn,4608
nm0176869,Steve Coogan,4601
nm0534045,Fred MacMurray,4597
nm0001725,Omar Sharif,4558
nm0001366,Leslie Howard,4538
nm0182666,Nikolaj Coster-Waldau,4533
nm0000078,John Wayne,4453
