actor_ids,actor_names,actor_points
nm0000509,Bela Lugosi,598
nm1270590,Andreas Wilson,595
nm0526616,Henrik Lundström,595
nm0001252,Vincent Gallo,593
nm0001224,Errol Flynn,589
nm0001651,Basil Rathbone,589
nm0051903,Claes Bang,589
nm0453448,Kim Kap-su,589
nm0001128,Alain Delon,588
nm0916067,Clifton Webb,584
nm0001637,Vincent Price,584
nm0253216,Karra Elejalde,584
nm0731772,Cliff Robertson,581
nm3140538,Mikkel Boe Følsgaard,572
nm4221607,Dawid Ogrodnik,571
nm0205127,Matthew Davis,570
nm0681566,Michel Piccoli,564
nm1914298,Pål Sverre Hagen,563
nm0471601,Anders Baasmo,563
nm0617852,Wotan Wilke Möhring,560
nm1946193,Jamie Dornan,558
nm8958770,Paul Mescal,557
nm0000896,Harry Belafonte,554
nm0508293,Thierry Lhermitte,546
nm0898317,Jacques Villeret,546
nm0277424,Jon Finch,544
nm0856050,Nigel Terry,538
nm0000852,Jean-Marc Barr,536
nm2092835,Tom Payne,536
nm0553648,Olivier Martinez,536
nm0800638,Peter Simonischek,533
nm1955257,Lars Eidinger,531
nm1292111,Asier Etxeandia,527
nm1741002,Matt Smith,522
nm0350324,Edmund Gwenn,515
nm0668361,John Payne,515
nm8822933,Richie Merritt,508
nm0557908,Oliver Masucci,507
nm0378698,Christoph Maria Herbst,507
nm0885203,Raf Vallone,504
nm0509583,Jan Josef Liefers,502
