actress_ids,actress_names,actress_points
nm0005064,January Jones,10765
nm0000566,Julia Ormond,10723
nm0000038,Grace Kelly,10593
nm0578949,Eva Mendes,10527
nm0000365,Julie Delpy,10498
nm0007814,Hiam Abbass,10427
nm0001046,Julie Christie,10395
nm0000218,Kristin Scott Thomas,10320
nm0000668,Emma Thompson,10289
nm0000232,Sharon Stone,10287
nm0717709,Kelly Reilly,10257
nm0000193,Demi Moore,10018
nm0893941,Maribel Verdú,9951
nm0378245,Taraji P. Henson,9922
nm0001687,Gena Rowlands,9880
nm0939697,Evan Rachel Wood,9844
nm0000400,Linda Fiorentino,9766
nm0000932,Halle Berry,9721
nm0488953,Brie Larson,9715
nm0001491,Melanie Lynskey,9584
nm0000006,Ingrid Bergman,9555
nm1856097,Cho Yeo-jeong,9321
nm6476224,Park So-dam,9321
nm0000212,Meg Ryan,9257
nm0724757,Salli Richardson-Whitfield,9212
nm0001159,Faye Dunaway,9200
nm0001732,Cybill Shepherd,9129
nm0000510,Andie MacDowell,9032
nm0000971,Nicoletta Braschi,8998
nm0004787,Saffron Burrows,8995
nm2247245,Haley Bennett,8875
nm0000456,Holly Hunter,8800
nm0955471,Ziyi Zhang,8780
nm0608090,Samantha Morton,8673
nm2368789,Zoë Kravitz,8670
nm1679778,Sylvia Hoeks,8552
nm0001632,Teri Polo,8547
nm0001100,Blythe Danner,8547
nm0000403,Bridget Fonda,8462
nm0001543,Gretchen Mol,8456
nm0341737,Rachel Griffiths,8431
nm0308882,Lorraine Gary,8264
nm1419440,Ivana Baquero,8259
nm0317725,Ariadna Gil,8259
nm0636426,Noomi Rapace,8255
nm0000170,Milla Jovovich,8135
nm1092227,Sienna Miller,8114
nm0007102,Tabu,8045
nm0000511,Shirley MacLaine,8004
nm0001250,Charlotte Gainsbourg,7953
nm0000950,Brenda Blethyn,7923
nm0001648,Charlotte Rampling,7909
nm1086543,Amanda Seyfried,7881
nm0000526,Samantha Mathis,7856
nm0000295,Kate Beckinsale,7832
nm0295484,Anna Friel,7717
nm0000618,Isabella Rossellini,7713
nm0000706,Michelle Yeoh,7656
nm1671512,Anamaria Marinca,7623
nm0257969,Mireille Enos,7605
nm2020146,Daniella Kertesz,7605
nm0038918,Kate Ashfield,7585
nm0000463,Famke Janssen,7549
nm0000133,Geena Davis,7485
nm1597316,Adrianne Palicki,7445
nm0737533,Elisabeth Röhm,7348
nm0000679,Deborah Kara Unger,7228
nm0001584,Miranda Otto,7206
nm0311476,Martina Gedeck,7180
nm0362896,Corinna Harfouch,7158
nm0591352,Birgit Minichmayr,7158
nm0000420,Valeria Golino,7152
nm0000613,Joely Richardson,7103
nm0000155,Whoopi Goldberg,7072
nm0001012,Claudia Cardinale,7016
nm0000666,Lili Taylor,6974
nm0067367,Bérénice Bejo,6911
nm0001693,Eva Marie Saint,6880
nm0000030,Audrey Hepburn,6847
nm0645683,Sophie Okonedo,6828
nm2736690,Alicia von Rittberg,6776
nm0001435,Lisa Kudrow,6659
nm1367246,Kang Hye-jeong,6601
nm0000023,Judy Garland,6585
nm5896355,Anya Taylor-Joy,6570
nm0521443,Susanne Lothar,6552
nm0378932,Karoline Herfurth,6534
nm0001684,Katharine Ross,6513
nm0728812,Thelma Ritter,6501
nm0267506,Anna Faris,6459
nm0000132,Claire Danes,6430
nm0000291,Angela Bassett,6411
nm0000843,Anne Bancroft,6353
nm1679669,Rosemarie DeWitt,6348
nm0002104,Paulette Goddard,6319
nm0000162,Anne Heche,6304
nm0004802,Linda Cardellini,6281
nm0004754,Jessica Biel,6271
nm0005028,Kate Hudson,6211
nm0000157,Linda Hamilton,6206
nm0000098,Jennifer Aniston,6188
nm0001201,Mia Farrow,6175
nm0000565,Lena Olin,6167
nm0782561,Emmanuelle Seigner,6131
nm0002039,Ruby Dee,6086
nm0001527,Elizabeth McGovern,6074
nm0000046,Vivien Leigh,6019
nm0001807,Cicely Tyson,6000
nm1312575,Olivia Wilde,6000
nm0001547,Agnes Moorehead,5972
nm0000427,Pam Grier,5943
nm0001036,Geraldine Chaplin,5930
nm0001009,Kate Capshaw,5917
nm0005442,Amy Smart,5910
nm0189887,Marie-Josée Croze,5895
nm0000335,Glenn Close,5824
nm0001656,Donna Reed,5760
nm0000106,Drew Barrymore,5758
nm1404488,AJ Michalka,5704
nm0957909,Ayelet Zurer,5694
nm0000300,Juliette Binoche,5685
nm0940362,Shailene Woodley,5425
nm1385871,Olga Kurylenko,5419
nm0001347,Barbara Hershey,5277
nm0005392,Keri Russell,5230
nm2377903,Lucy Boynton,5216
nm0000322,Emmanuelle Béart,5203
nm0200848,Ingeborga Dapkunaite,5203
nm0001571,Kim Novak,5156
nm0000895,Barbara Bel Geddes,5156
nm0000014,Olivia de Havilland,5127
nm3199307,Ruby Rose,5117
nm0314358,Claudia Gerini,5117
nm0005031,Felicity Huffman,5076
nm0000349,Joan Cusack,5068
nm0000208,Molly Ringwald,5045
nm0000639,Ally Sheedy,5045
nm2794962,Hailee Steinfeld,5022
nm3078932,Lady Gaga,4995
nm0845209,Aitana Sánchez-Gijón,4962
nm0428065,Felicity Jones,4915
nm0204706,Hope Davis,4895
nm0001114,Judy Davis,4890
nm0000161,Salma Hayek,4872
nm0001512,Mary Elizabeth Mastrantonio,4849
nm0001448,Jessica Lange,4791
nm0000178,Diane Lane,4783
nm0001839,Tuesday Weld,4779
nm0000572,Sarah Jessica Parker,4757
nm3114649,Charlotte Le Bon,4754
nm0000414,Teri Garr,4738
nm0000304,Linda Blair,4713
nm0910278,Julie Walters,4674
nm1950086,Greta Gerwig,4656
nm3034977,Samara Weaving,4613
nm0001788,Jessica Tandy,4568
nm0381342,Hannah Herzsprung,4546
nm0000223,Elisabeth Shue,4535
nm0749104,Belén Rueda,4452
nm1890784,Michelle Dockery,4445
nm2163344,Ko Asung,4423
nm0240318,Lola Dueñas,4387
nm0044073,Lubna Azabal,4342
nm0000289,Ellen Barkin,4324
nm0935541,Mary Elizabeth Winstead,4310
nm1443740,Zoe Kazan,4306
nm0001631,Sarah Polley,4305
nm0000659,Barbra Streisand,4293
nm0640323,Frances O'Connor,4270
nm0227039,Melinda Dillon,4244
nm0001041,Maggie Cheung,4162
nm0001767,Imelda Staunton,4134
nm0477810,Juliane Köhler,4108
nm0000956,Lisa Bonet,4077
nm0710658,Alexandra Rapaport,4060
nm0001404,Madeline Kahn,4002
nm0000593,Kelly Preston,3982
nm0798971,Sarah Silverman,3981
nm0001573,Catherine O'Hara,3965
nm0000002,Lauren Bacall,3964
nm0001666,Debbie Reynolds,3964
nm0000267,Julie Andrews,3962
nm0267042,Golshifteh Farahani,3932
nm0002106,Ruth Gordon,3925
nm0000931,Elizabeth Berridge,3902
nm4456120,Elizabeth Debicki,3898
nm0000017,Marlene Dietrich,3842
nm5637553,Laura Harrier,3829
nm0221046,Zooey Deschanel,3824
nm0004647,Carroll Baker,3808
nm1128572,Lake Bell,3780
nm0000054,Marilyn Monroe,3774
nm0000761,Bibi Andersson,3753
nm0098378,Kate Bosworth,3720
nm1011070,Marta Etura,3683
nm0001020,Katrin Cartlidge,3634
nm0000298,Candice Bergen,3608
nm9681752,Julia Fox,3590
nm0579953,Idina Menzel,3590
nm0005009,Laura Harring,3583
nm0748973,Maya Rudolph,3573
nm0000326,Kim Cattrall,3556
nm0647634,Elizabeth Olsen,3524
nm0000675,Jeanne Tripplehorn,3496
nm0252238,Carmen Ejogo,3475
nm0001375,Kim Hunter,3439
nm0000534,Kelly McGillis,3411
nm0002663,Diane Ladd,3393
nm0002114,Kim Greist,3384
nm2358540,Natalie Martinez,3377
nm0001453,Piper Laurie,3373
nm0368689,Leila Hatami,3357
nm0000515,Virginia Madsen,3338
nm0046277,Bae Doona,3315
nm0955782,Xun Zhou,3315
nm3043279,Vicky Krieps,3275
nm0000084,Gong Li,3222
nm0005261,Brittany Murphy,3216
nm0384908,Wendy Hiller,3215
nm1875238,Jessica Barden,3214
nm0885098,Alida Valli,3211
nm0001605,Amanda Peet,3196
nm0000031,Katharine Hepburn,3190
nm3512758,Sarah Snook,3189
nm0001859,Shelley Winters,3166
nm0000207,Christina Ricci,3163
nm0000678,Kathleen Turner,3131
nm2605345,Gemma Arterton,3128
nm0001335,Tippi Hedren,3117
nm0841797,Gloria Swanson,3091
nm0126284,Rose Byrne,3075
nm0623658,Patricia Neal,3065
nm1271759,Sara Forestier,3050
nm0000737,Jane Alexander,3040
nm0245988,Trine Dyrholm,3011
nm0375609,Brigitte Helm,2963
nm0176882,A.J. Cook,2937
nm0001461,Virginie Ledoyen,2907
nm0000330,Stockard Channing,2895
nm0544334,Lesley Manville,2887
nm0000205,Parker Posey,2881
nm0000542,Penelope Ann Miller,2839
nm0001049,Jill Clayburgh,2839
nm0000378,Minnie Driver,2800
nm7340546,Eliza Scanlen,2797
nm0000167,Elizabeth Hurley,2788
nm0005253,Elisabeth Moss,2774
nm0728938,Emmanuelle Riva,2756
nm0914455,Leonor Watling,2712
nm0940946,Joanne Woodward,2710
nm0001482,Courtney Love,2698
nm0000366,Catherine Deneuve,2672
nm1720028,Amber Heard,2661
nm0000733,Anouk Aimée,2656
nm0353546,Julie Hagerty,2641
nm0897845,Soledad Villamil,2629
nm0116254,Valeria Bruni Tedeschi,2615
nm0000624,Laura San Giacomo,2555
nm0000096,Gillian Anderson,2511
nm0005203,Mary McCormack,2506
nm0815370,Shannyn Sossamon,2492
nm0359652,Marina Hands,2461
nm0905676,Ana Wagener,2460
nm1036659,Bárbara Lennie,2460
nm0000012,Bette Davis,2457
nm0000404,Jane Fonda,2440
nm0000879,Anne Baxter,2440
nm0000072,Elizabeth Taylor,2436
nm0000272,Fanny Ardant,2426
nm0942863,Teresa Wright,2415
nm0001713,Izabella Scorupco,2409
nm0272581,Rebecca Ferguson,2388
nm0000556,Olivia Newton-John,2368
nm0000781,Eve Arden,2368
nm0000951,Joan Blondell,2368
nm0175931,Anne Consigny,2333
nm0001711,Annabella Sciorra,2331
nm0796662,Sylvia Sidney,2326
nm0001797,Rachel Ticotin,2325
nm0142972,Amira Casar,2283
nm0000884,Jennifer Beals,2280
nm0892299,Manuela Velasco,2273
nm0000612,Denise Richards,2257
nm0000081,Natalie Wood,2256
nm0000262,Nancy Allen,2255
nm0000724,Brooke Adams,2246
nm0231436,Dagmara Dominczyk,2221
nm0765911,Katrin Sass,2214
nm0000613,Joely Richardson,2205
nm0720671,Thekla Reuten,2205
nm0000486,Heather Langenkamp,2197
nm0086867,Ronee Blakley,2197
nm1455681,AnnaSophia Robb,2196
nm0515116,Blake Lively,2179
nm0000505,Nia Long,2175
nm0001766,Barbara Stanwyck,2166
nm0006471,Elsa Lanchester,2149
nm0000802,Mary Astor,2143
nm0001665,Lee Remick,2120
nm0000700,Debra Winger,2074
nm0001339,Marg Helgenberger,2068
nm1263939,Danielle Panabaker,2068
nm4141252,Lily James,2053
nm0001376,Isabelle Huppert,2051
nm0428121,Gemma Jones,2038
nm0880521,Liv Ullmann,2032
nm0795517,Shu Qi,2029
nm0000446,Mariel Hemingway,1988
nm1111968,Alexa Davalos,1984
nm0001943,Marisa Berenson,1981
nm0853040,Regina Taylor,1950
nm0240359,Anne-Marie Duff,1945
nm0824785,Paprika Steen,1923
nm0005386,Cecilia Roth,1916
nm1495520,Caitríona Balfe,1915
nm0001388,Amy Irving,1911
nm0000360,Rebecca De Mornay,1905
nm0038680,Ashanti,1901
nm0211087,Emilie de Ravin,1891
nm1300303,Svetlana Khodchenkova,1862
nm0025745,Elena Anaya,1832
nm0000506,Julia Louis-Dreyfus,1830
nm0027683,Harriet Andersson,1801
nm0674231,Rhea Perlman,1786
nm0933798,Mara Wilson,1786
nm0001110,Embeth Davidtz,1786
nm0274913,Pam Ferris,1786
nm0001413,Julie Kavner,1778
nm0488053,Ursina Lardi,1756
nm0004695,Jessica Alba,1750
nm0208426,Cécile de France,1745
nm0002141,Celeste Holm,1736
nm0000524,Mary Stuart Masterson,1726
nm2461627,Markéta Irglová,1723
nm0590452,Sandra Milo,1705
nm0001851,JoBeth Williams,1701
nm0868479,Ana Torrent,1696
nm0282936,Rosario Flores,1694
nm2976580,Jessie Buckley,1679
nm2142336,Riley Keough,1674
nm0001393,Irène Jacob,1632
nm0000795,Jean Arthur,1623
nm0001739,Jean Simmons,1616
nm0701012,Edna Purviance,1600
nm0001236,Meg Foster,1580
nm0000182,Jennifer Lopez,1578
nm0000266,Ursula Andress,1575
nm0000021,Joan Fontaine,1573
nm0556399,Giulietta Masina,1570
nm1782299,Imogen Poots,1553
nm0593310,Elizabeth Mitchell,1549
nm0756203,Ludivine Sagnier,1544
nm1195119,Kim Min-hee,1516
nm3892241,Kim Tae-ri,1516
nm0517820,Lindsay Lohan,1515
nm0000105,Adrienne Barbeau,1514
nm0560962,Carmen Maura,1493
nm0000426,Jennifer Grey,1492
nm0001614,Lori Petty,1455
nm0001951,Björk,1423
nm0862026,Ingrid Thulin,1410
nm0001615,Elizabeth Peña,1375
nm0004418,Kajol,1370
nm0528987,Sue Lyon,1369
nm3239803,Kaitlyn Dever,1365
nm3159825,Maricel Álvarez,1353
nm0666788,Christiane Paul,1332
nm0565250,Melissa McCarthy,1317
nm0000333,Cher,1292
nm0001273,Lillian Gish,1289
nm0336531,Coleen Gray,1253
nm0768058,Andrea Sawatzki,1250
nm0094081,Natalya Bondarchuk,1237
nm1267552,Taraneh Alidoosti,1228
nm0000302,Jacqueline Bisset,1226
nm0219990,Kassie Wesley DePaiva,1222
nm0005501,Lorraine Toussaint,1221
nm0001496,Amy Madigan,1220
nm1555340,Alison Brie,1211
nm0660327,Irene Papas,1208
nm0246686,Melonie Diaz,1200
nm0001055,Claudette Colbert,1199
nm0000627,Greta Scacchi,1197
nm1155977,Nora Navas,1185
nm0006800,Sandy Dennis,1175
nm0452288,Margot Kidder,1171
nm0107281,Eileen Brennan,1171
nm0000690,Lesley Ann Warren,1171
nm0001156,Olympia Dukakis,1169
nm0856500,Sylvie Testud,1160
nm6073955,Florence Pugh,1123
nm0000256,Jenny Agutter,1121
nm1635244,Susan Kelechi Watson,1111
nm0001560,Ornella Muti,1098
nm3381295,Alexandra Shipp,1085
nm0895759,Karin Viard,1081
